,48.000,1403.000
2.755,48.000,1410.000
2.764,48.000,1409.000
2.772,48.000,1408.000
2.780,48.000,1408.000
2.789,48.000,1409.000
2.798,48.000,1408.000
2.806,48.000,1407.000
2.815,48.000,1406.000
2.824,48.000,1408.000
2.833,48.000,1407.000
2.842,48.000,1405.000
2.850,48.000,1405.000
2.859,48.000,1405.000
2.870,48.000,1404.000
2.879,48.000,1403.000
2.888,48.000,1404.000
2.898,48.000,1404.000
2.908,48.000,1404.000
2.918,48.000,1402.000
2.927,48.000,1403.000
2.938,48.000,1402.000
2.948,48.000,1402.000
2.958,48.000,1401.000
2.968,48.000,1402.000
2.979,48.000,1401.000
2.990,48.000,1402.000
3.002,48.000,1401.000
3.013,48.000,1400.000
3.023,48.000,1400.000
3.034,48.000,1401.000
3.045,48.000,1399.000
3.056,48.000,1399.000
3.066,48.000,1399.000
3.077,48.000,1399.000
3.086,48.000,1398.000
3.096,48.000,1399.000
3.103,48.000,1398.000
3.112,48.000,1398.000
3.120,48.000,1397.000
3.128,48.000,1396.000
3.137,48.000,1398.000
3.145,48.000,1396.000
3.152,48.000,1398.000
3.162,48.000,1397.000
3.171,48.000,1398.000
3.180,48.000,1396.000
3.189,48.000,1397.000
3.198,48.000,1395.000
3.209,48.000,1396.000
3.218,48.000,1396.000
3.229,48.000,1397.000
3.238,48.000,1397.000
3.249,48.000,1397.000
3.258,48.000,1396.000
3.269,48.000,1397.000
3.278,48.000,1395.000
3.287,48.000,1396.000
3.297,48.000,1396.000
3.306,48.000,1396.000
3.315,48.000,1396.000
3.324,48.000,1396.000
3.332,48.000,1396.000
3.343,48.000,1397.000
3.352,48.000,1396.000
3.361,48.000,1396.000
3.370,48.000,1396.000
3.379,48.000,1396.000
3.390,48.000,1395.000
3.399,48.000,1395.000
3.410,48.000,1396.000
3.421,48.000,1397.000
3.432,48.000,1396.000
3.444,48.000,1398.000
3.455,48.000,1397.000
3.467,48.000,1396.000
3.478,48.000,1397.000
3.490,48.000,1397.000
3.501,48.000,1397.000
3.513,48.000,1398.000
3.524,48.000,1398.000
3.534,48.000,1398.000
3.545,48.000,1400.000
3.556,48.000,1398.000
3.567,48.000,1398.000
3.576,48.000,1399.000
3.585,48.000,1400.000
3.594,48.000,1399.000
3.603,48.000,1399.000
3.611,48.000,1399.000
3.619,48.000,1399.000
3.626,48.000,1400.000
3.632,48.000,1400.000
3.640,48.000,1400.000
3.646,48.000,1400.000
3.654,48.000,1400.000
3.660,48.000,1400.000
3.666,48.000,1401.000
3.674,48.000,1399.000
3.680,48.000,1400.000
3.686,48.000,1400.000
3.694,48.000,1400.000
3.701,48.000,1401.000
3.709,48.000,1400.000
3.717,48.000,1401.000
3.725,48.000,1401.000
3.732,48.000,1402.000
3.740,48.000,1401.000
3.746,48.000,1400.000
3.754,48.000,1402.000
3.760,48.000,1402.000
3.767,48.000,1401.000
3.774,48.000,1402.000
3.780,48.000,1402.000
3.786,48.000,1402.000
3.792,48.000,1402.000
3.798,48.000,1402.000
3.804,48.000,1403.000
3.809,48.000,1403.000
3.815,48.000,1402.000
3.821,48.000,1402.000
3.827,48.000,1403.000
3.833,48.000,1403.000
3.840,48.000,1403.000
3.847,48.000,1403.000
3.853,48.000,1403.000
3.861,48.000,1402.000
3.869,48.000,1402.000
3.876,48.000,1402.000
3.884,48.000,1403.000
3.892,48.000,1402.000
3.901,48.000,1403.000
3.909,48.000,1402.000
3.916,48.000,1404.000
3.925,48.000,1404.000
3.933,48.000,1403.000
3.942,48.000,1404.000
3.950,48.000,1404.000
3.959,48.000,1404.000
3.967,48.000,1404.000
3.975,48.000,1404.000
3.982,48.000,1404.000
3.990,48.000,1404.000
3.998,48.000,1403.000
4.005,48.000,1404.000
4.011,48.000,1405.000
4.019,48.000,1403.000
4.025,48.000,1404.000
4.031,48.000,1404.000
4.037,48.000,1403.000
4.044,48.000,1404.000
4.050,48.000,1404.000
4.056,48.000,1403.000
4.060,48.000,1404.000
4.067,48.000,1405.000
4.073,48.000,1404.000
4.079,48.000,1403.000
4.085,48.000,1404.000
4.093,48.000,1404.000
4.097,48.000,1404.000
4.105,48.000,1403.000
4.110,48.000,1403.000
4.117,48.000,1403.000
4.122,48.000,1405.000
4.128,48.000,1403.000
4.134,48.000,1404.000
4.139,48.000,1404.000
4.145,48.000,1404.000
4.151,48.000,1403.000
4.156,48.000,1404.000
4.162,48.000,1403.000
4.168,48.000,1403.000
4.172,48.000,1405.000
4.179,48.000,1404.000
4.183,48.000,1403.000
4.191,48.000,1403.000
4.195,48.000,1403.000
4.203,48.000,1403.000
4.209,48.000,1403.000
4.215,48.000,1404.000
4.223,48.000,1404.000
4.232,48.000,1403.000
4.240,48.000,1403.000
4.249,48.000,1402.000
4.258,48.000,1403.000
4.269,48.000,1404.000
4.280,48.000,1403.000
4.291,48.000,1402.000
4.301,48.000,1403.000
4.314,48.000,1403.000
4.324,48.000,1402.000
4.337,48.000,1404.000
4.347,48.000,1403.000
4.358,48.000,1403.000
4.370,48.000,1403.000
4.381,48.000,1402.000
4.392,48.000,1403.000
4.403,48.000,1402.000
4.413,48.000,1402.000
4.424,48.000,1403.000
4.433,48.000,1403.000
4.442,48.000,1401.000
4.453,48.000,1403.000
4.462,48.000,1403.000
4.470,48.000,1404.000
4.479,48.000,1403.000
4.488,48.000,1403.000
4.498,48.000,1403.000
4.505,48.000,1403.000
4.515,48.000,1403.000
4.522,48.000,1402.000
4.531,48.000,1403.000
4.539,48.000,1403.000
4.548,48.000,1402.000
4.557,48.000,1404.000
4.567,48.000,1404.000
4.574,48.000,1404.000
4.584,48.000,1404.000
4.593,48.000,1404.000
4.602,48.000,1404.000
4.611,48.000,1404.000
4.622,48.000,1404.000
4.631,48.000,1404.000
4.640,48.000,1403.000
4.649,48.000,1405.000
4.659,48.000,1404.000
4.668,48.000,1405.000
4.676,48.000,1404.000
4.685,48.000,1407.000
4.692,48.000,1404.000
4.702,48.000,1405.000
4.709,48.000,1405.000
4.719,48.000,1406.000
4.728,48.000,1408.000
4.737,48.000,1405.000
4.748,48.000,1406.000
4.758,48.000,1406.000
4.769,48.000,1407.000
4.781,48.000,1407.000
4.794,48.000,1407.000
4.806,48.000,1407.000
4.820,48.000,1409.000
4.832,48.000,1408.000
4.844,48.000,1409.000
4.857,48.000,1410.000
4.867,48.000,1410.000
4.878,48.000,1410.000
4.886,48.000,1409.000
4.895,48.000,1411.000
4.901,48.000,1410.000
4.909,48.000,1411.000
