.000,23644.000
32101.000,0.000,36403.000
29873.000,0.000,32466.000
29084.000,0.000,32184.000
30248.000,0.000,32131.000
31564.000,0.000,31505.000
31104.000,0.000,30820.000
31927.000,0.000,31612.000
32488.000,0.000,30708.000
32610.000,0.000,29153.000
33634.000,0.000,30424.000
37487.000,0.000,32486.000
39380.000,0.000,32577.000
38363.000,0.000,34642.000
38939.000,0.000,39230.000
38859.000,0.000,39294.000
34280.000,0.000,37629.000
32130.000,0.000,38120.000
32108.000,0.000,37663.000
30973.000,0.000,33765.000
29421.000,0.000,32189.000
29533.000,0.000,32113.000
31642.000,0.000,31757.000
31343.000,0.000,31051.000
31376.000,0.000,31041.000
32237.000,0.000,31189.000
32614.000,0.000,29682.000
32672.000,0.000,29262.000
36250.000,0.000,32377.000
38968.000,0.000,32609.000
38911.000,0.000,33033.000
38433.000,0.000,38537.000
39353.000,0.000,39800.000
37126.000,0.000,38525.000
32265.000,0.000,37861.000
32057.000,0.000,37887.000
31923.000,0.000,35511.000
29672.000,0.000,32262.000
29158.000,0.000,32147.000
30981.000,0.000,32039.000
31443.000,0.000,31352.000
31162.000,0.000,30827.000
32062.000,0.000,31644.000
32538.000,0.000,30329.000
32562.000,0.000,29151.000
34581.000,0.000,31247.000
38155.000,0.000,32546.000
39538.000,0.000,32610.000
38208.000,0.000,36173.000
39069.000,0.000,39395.000
38356.000,0.000,38884.000
32836.000,0.000,37363.000
32139.000,0.000,38064.000
32127.000,0.000,37012.000
30100.000,0.000,32669.000
29237.000,0.000,32160.000
30022.000,0.000,32132.000
31580.000,0.000,31578.000
31122.000,0.000,30847.000
31604.000,0.000,31343.000
32415.000,0.000,30912.000
32631.000,0.000,29255.000
33062.000,0.000,29717.000
37043.000,0.000,32520.000
39141.000,0.000,32631.000
38717.000,0.000,34003.000
38772.000,0.000,38998.000
39143.000,0.000,39611.000
35473.000,0.000,38000.000
32240.000,0.000,38145.000
32094.000,0.000,37750.000
31538.000,0.000,34393.000
29539.000,0.000,32226.000
29362.000,0.000,32166.000
31438.000,0.000,31879.000
31377.000,0.000,31115.000
31117.000,0.000,30799.000
32212.000,0.000,31423.000
32699.000,0.000,30146.000
32639.000,0.000,29250.000
35630.000,0.000,32216.000
38532.000,0.000,32616.000
39117.000,0.000,32769.000
38065.000,0.000,37749.000
39281.000,0.000,39698.000
37746.000,0.000,38618.000
32376.000,0.000,37587.000
32080.000,0.000,38023.000
32087.000,0.000,36197.000
29854.000,0.000,32374.000
29083.000,0.000,32213.000
30472.000,0.000,32139.000
31570.000,0.000,31476.000
31078.000,0.000,30818.000
31984.000,0.000,31607.000
32547.000,0.000,30610.000
32611.000,0.000,29216.000
33829.000,0.000,30682.000
37726.000,0.000,32536.000
39384.000,0.000,32618.000
38223.000,0.000,35037.000
39002.000,0.000,39292.000
38754.000,0.000,39216.000
33877.000,0.000,37535.000
32167.000,0.000,38116.000
32152.000,0.000,37497.000
30758.000,0.000,33404.000
29401.000,0.000,32137.000
29627.000,0.000,32119.000
31600.000,0.000,31770.000
31310.000,0.000,31009.000
31439.000,0.000,31118.000
32309.000,0.000,31124.000
32604.000,0.000,29582.000
